file_name,cell_id,protocol,replicate,nominal_capacity_Ah,raw_cycle_count,processed_cycle_count,interpolated_cycle_count,first_cycle,last_cycle,true_eol_cycle,soh_at_true_eol
HUST_3-6.pkl,HUST_3-6,protocol_3,6,1.1,2491,2491,0,1,2491,2575,
HUST_3-7.pkl,HUST_3-7,protocol_3,7,1.1,2479,2479,0,1,2479,2569,
HUST_3-8.pkl,HUST_3-8,protocol_3,8,1.1,2342,2342,0,1,2342,2412,
HUST_4-1.pkl,HUST_4-1,protocol_4,1,1.1,2217,2217,0,1,2217,2278,
HUST_4-2.pkl,HUST_4-2,protocol_4,2,1.1,1782,1782,0,1,1782,1812,
HUST_4-3.pkl,HUST_4-3,protocol_4,3,1.1,1142,1142,0,1,1142,1164,
HUST_4-4.pkl,HUST_4-4,protocol_4,4,1.1,1491,1491,0,1,1491,1528,
HUST_4-5.pkl,HUST_4-5,protocol_4,5,1.1,1561,1561,0,1,1561,1600,
HUST_4-6.pkl,HUST_4-6,protocol_4,6,1.1,1380,1380,0,1,1380,1420,
HUST_4-7.pkl,HUST_4-7,protocol_4,7,1.1,2216,2216,0,1,2216,2272,
HUST_4-8.pkl,HUST_4-8,protocol_4,8,1.1,1706,1706,0,1,1706,1747,
HUST_5-1.pkl,HUST_5-1,protocol_5,1,1.1,2507,2507,0,1,2507,2583,
HUST_5-2.pkl,HUST_5-2,protocol_5,2,1.1,1926,1926,0,1,1926,1981,
HUST_5-3.pkl,HUST_5-3,protocol_5,3,1.1,2689,2689,0,1,2689,2764,
HUST_5-4.pkl,HUST_5-4,protocol_5,4,1.1,1962,1962,0,1,1962,2025,
HUST_5-5.pkl,HUST_5-5,protocol_5,5,1.1,1583,1583,0,1,1583,1634,
HUST_5-6.pkl,HUST_5-6,protocol_5,6,1.1,2460,2460,0,1,2460,2538,
HUST_5-7.pkl,HUST_5-7,protocol_5,7,1.1,1448,1448,0,1,1448,1490,
HUST_6-1.pkl,HUST_6-1,protocol_6,1,1.1,1609,1609,0,1,1609,1667,
HUST_6-2.pkl,HUST_6-2,protocol_6,2,1.1,1908,1908,0,1,1908,1972,
HUST_6-3.pkl,HUST_6-3,protocol_6,3,1.1,1804,1804,0,1,1804,1869,
HUST_6-4.pkl,HUST_6-4,protocol_6,4,1.1,1717,1717,0,1,1717,1779,
HUST_6-5.pkl,HUST_6-5,protocol_6,5,1.1,2178,2178,0,1,2178,2255,
HUST_6-6.pkl,HUST_6-6,protocol_6,6,1.1,2468,2468,0,1,2468,2542,
HUST_6-8.pkl,HUST_6-8,protocol_6,8,1.1,2450,2450,0,1,2450,2574,
HUST_7-1.pkl,HUST_7-1,protocol_7,1,1.1,1690,1690,0,1,1690,1752,
HUST_7-2.pkl,HUST_7-2,protocol_7,2,1.1,2030,2030,0,1,2030,2088,
HUST_7-3.pkl,HUST_7-3,protocol_7,3,1.1,1295,1295,0,1,1295,1318,
HUST_7-4.pkl,HUST_7-4,protocol_7,4,1.1,1393,1393,0,1,1393,1421,
HUST_7-5.pkl,HUST_7-5,protocol_7,5,1.1,1873,1875,2,1,1875,1907,
HUST_7-6.pkl,HUST_7-6,protocol_7,6,1.1,1419,1419,0,1,1419,1450,
HUST_7-7.pkl,HUST_7-7,protocol_7,7,1.1,1685,1685,0,1,1685,1726,
HUST_7-8.pkl,HUST_7-8,protocol_7,8,1.1,1938,1938,0,1,1938,1975,
HUST_8-1.pkl,HUST_8-1,protocol_8,1,1.1,1308,1308,0,1,1308,1338,
HUST_8-2.pkl,HUST_8-2,protocol_8,2,1.1,2041,2041,0,1,2041,2100,
HUST_8-3.pkl,HUST_8-3,protocol_8,3,1.1,2290,2290,0,1,2290,2338,
HUST_8-4.pkl,HUST_8-4,protocol_8,4,1.1,1885,1885,0,1,1885,1938,
HUST_8-5.pkl,HUST_8-5,protocol_8,5,1.1,1348,1348,0,1,1348,1382,
HUST_8-6.pkl,HUST_8-6,protocol_8,6,1.1,2365,2365,0,1,2365,2436,
HUST_8-7.pkl,HUST_8-7,protocol_8,7,1.1,2047,2047,0,1,2047,2116,
HUST_8-8.pkl,HUST_8-8,protocol_8,8,1.1,1679,1679,0,1,1679,1722,
HUST_9-1.pkl,HUST_9-1,protocol_9,1,1.1,2057,2057,0,1,2057,2106,
HUST_9-2.pkl,HUST_9-2,protocol_9,2,1.1,2143,2143,0,1,2143,2189,
HUST_9-3.pkl,HUST_9-3,protocol_9,3,1.1,1905,1905,0,1,1905,1946,
HUST_9-4.pkl,HUST_9-4,protocol_9,4,1.1,1975,1975,0,1,1975,2023,
HUST_9-5.pkl,HUST_9-5,protocol_9,5,1.1,2168,2168,0,1,2168,2230,
HUST_9-6.pkl,HUST_9-6,protocol_9,6,1.1,1742,1742,0,1,1742,1793,
HUST_9-7.pkl,HUST_9-7,protocol_9,7,1.1,2012,2012,0,1,2012,2061,
HUST_9-8.pkl,HUST_9-8,protocol_9,8,1.1,2308,2308,0,1,2308,2377,
HUST_10-1.pkl,HUST_10-1,protocol_10,1,1.1,1702,1702,0,1,1702,1760,
HUST_10-2.pkl,HUST_10-2,protocol_10,2,1.1,1697,1697,0,1,1697,1742,
HUST_10-3.pkl,HUST_10-3,protocol_10,3,1.1,1848,1848,0,1,1848,1901,
HUST_10-4.pkl,HUST_10-4,protocol_10,4,1.1,1811,1811,0,1,1811,1849,
HUST_10-5.pkl,HUST_10-5,protocol_10,5,1.1,2030,2030,0,1,2030,2080,
HUST_10-6.pkl,HUST_10-6,protocol_10,6,1.1,2285,2285,0,1,2285,2344,
HUST_10-7.pkl,HUST_10-7,protocol_10,7,1.1,1783,1783,0,1,1783,1821,
HUST_10-8.pkl,HUST_10-8,protocol_10,8,1.1,1400,1400,0,1,1400,1432,
