dataset,normalized_cycle,q10,q25,median,q75,q90,num_cells
HUST,0.28,1.3600645242657153e-05,2.5101269049791556e-05,3.6947069814630474e-05,6.875188614167854e-05,0.00010088188987197095,77
HUST,0.29,1.7552288054514507e-05,2.786901023850764e-05,4.283909889423917e-05,6.488116121158003e-05,8.134360584210745e-05,77
HUST,0.3,1.8541591412423823e-05,3.001440531816559e-05,4.873561614079922e-05,7.024933498472045e-05,9.143613900606245e-05,77
HUST,0.31,1.554514567593987e-05,2.2182241630245928e-05,4.4125898068516e-05,6.343631116655383e-05,9.486610857830163e-05,77
HUST,0.32,1.2411972395897015e-05,2.8894554073950435e-05,4.3973245844074726e-05,6.428244104013136e-05,9.465870399280207e-05,77
HUST,0.33,9.666081722291584e-06,2.2716378173615047e-05,4.244569919165513e-05,6.415716248785854e-05,9.580140714644466e-05,77
HUST,0.34,1.4789467717796285e-05,2.8155527622183575e-05,4.758287379311121e-05,6.763425132268297e-05,8.396964566544595e-05,77
HUST,0.35000000000000003,1.9096762710947386e-05,2.7426468611063207e-05,4.21243770765643e-05,6.502129165892889e-05,8.411792780120663e-05,77
HUST,0.36,2.0408186732515232e-05,3.072190377229056e-05,4.677957250839421e-05,6.787597412080944e-05,9.441995580360105e-05,77
HUST,0.37,2.8320972987664163e-05,4.089060721835704e-05,5.316790292486149e-05,8.023328007151783e-05,9.994723465814396e-05,77
HUST,0.38,1.3938424702304327e-05,2.9670861447941405e-05,4.598188103125247e-05,7.777837650406663e-05,0.0001003831795496857,77
HUST,0.39,2.9554432092926003e-05,3.7898588639855326e-05,5.261621020363759e-05,7.599452146382204e-05,8.789935765222124e-05,77
HUST,0.4,1.1434460243906377e-05,3.0032511215693942e-05,5.366346841793026e-05,7.778775229916325e-05,0.00010143275901736583,77
HUST,0.41000000000000003,2.3628394885289993e-05,3.529282201271729e-05,5.713706282538592e-05,7.359194473639409e-05,0.00010113544405692457,77
HUST,0.42,2.230174467263425e-05,3.249720894463816e-05,5.7103132883112844e-05,8.144114974637499e-05,9.951118270310631e-05,77
HUST,0.43,1.9589744406926178e-05,2.9969433473258248e-05,5.0895284430903255e-05,7.64742191384684e-05,0.0001013238042780695,77
HUST,0.44,1.19856082339545e-05,2.8145050346440093e-05,4.557545620185625e-05,7.014390288569093e-05,9.667477723885093e-05,77
HUST,0.45,1.3586600247551669e-05,3.253645281695281e-05,5.330744819000978e-05,8.236787625991172e-05,9.935498362182552e-05,77
HUST,0.46,1.4604450119262575e-05,2.8781024703625424e-05,4.6794993802068714e-05,7.377784955084982e-05,8.70301353194986e-05,77
HUST,0.47000000000000003,2.2558179858230373e-05,3.167539358763646e-05,5.3621293955090284e-05,8.873055753963772e-05,0.00010768632705928815,77
HUST,0.48,2.3506709820136135e-05,3.483032414309426e-05,5.666317422962542e-05,8.847801681886919e-05,0.00010907453842012292,77
HUST,0.49,1.740862912149422e-05,3.172674075144559e-05,5.5114458953866815e-05,8.091433247399833e-05,9.933448290351638e-05,77
HUST,0.5,2.3350958965811983e-05,3.947005872162457e-05,5.918052605918029e-05,7.64142580977345e-05,9.6758059100664e-05,77
HUST,0.51,2.5458417555939314e-05,3.3468859495939256e-05,5.180246941476872e-05,7.612584609433939e-05,9.87167346037902e-05,77
HUST,0.52,2.0867676693589494e-05,3.492754682064871e-05,6.03741198528961e-05,8.19578655173555e-05,0.00011725219210646955,77
HUST,0.53,2.818737124138093e-05,4.351337851198639e-05,6.697406321273591e-05,8.694950463799611e-05,0.00010676004296720252,77
HUST,0.54,1.946175443851177e-05,3.18390701238172e-05,6.052047601000435e-05,9.042471803860567e-05,0.00010565402890427295,77
HUST,0.55,2.127164503427612e-05,2.995900405733042e-05,4.9055416235537184e-05,8.263721845942076e-05,0.00010528309734070326,77
HUST,0.56,1.7530379414799285e-05,3.176664314517105e-05,5.313308547989688e-05,8.641577848146997e-05,0.0001202537190432575,77
HUST,0.5700000000000001,1.6679787453533146e-05,3.961704040253577e-05,5.725118750485285e-05,7.80981728060171e-05,0.00012629541674081632,77
HUST,0.58,2.3465863499254393e-05,3.693916678289573e-05,5.3863485383373565e-05,8.521187133170005e-05,0.00011938555839008006,77
HUST,0.59,1.2603465347980296e-05,3.147333422085073e-05,5.373511660602342e-05,8.497463018572427e-05,0.00010414458698990343,77
HUST,0.6,2.1641064686548457e-05,4.249739005471785e-05,6.908607216437479e-05,9.532293018804957e-05,0.00010431111469317837,77
HUST,0.61,2.0441923281206466e-05,4.993909044934514e-05,6.663995331582562e-05,9.02246193275889e-05,0.00011656866344598702,77
HUST,0.62,2.1398159271368488e-05,3.9750948463709045e-05,6.070825244047784e-05,8.22215423646118e-05,0.00011592473053175451,77
HUST,0.63,2.1310332280740575e-05,3.910083879108847e-05,6.930770211590298e-05,0.00010155900050400982,0.00011816113837269522,77
HUST,0.64,2.2123441660561054e-05,3.3908737397716755e-05,6.720647090601169e-05,9.388585432373994e-05,0.00012219346075237247,77
HUST,0.65,1.973524888018415e-05,3.276827226379965e-05,6.211190107278151e-05,9.213737502817102e-05,0.00012250499621882868,77
HUST,0.66,3.3533241273123414e-05,4.6582089889102464e-05,6.651901335591238e-05,9.378642550631048e-05,0.00012559635633209264,77
HUST,0.67,2.629669077618686e-05,3.7138844634901526e-05,6.331603866302318e-05,8.917516588240947e-05,0.00010771348857554577,77
HUST,0.68,1.822489455507852e-05,3.362449550902363e-05,5.923834758609079e-05,9.371604435153305e-05,0.00012200030784986555,77
HUST,0.6900000000000001,2.1039322108449698e-05,3.545375571337488e-05,6.397189340677853e-05,0.00010166278866374244,0.0001261723836337676,77
HUST,0.7000000000000001,3.474965318979478e-05,4.872162933974198e-05,6.958675631109796e-05,9.889433524580577e-05,0.00012345139460580998,77
HUST,0.71,3.246644624368243e-05,4.969871378558314e-05,6.990124926830556e-05,8.893107462542107e-05,0.000151576787862531,77
HUST,0.72,1.7629179168967626e-05,3.070010259179325e-05,6.086192502350886e-05,9.333527848189218e-05,0.0001129849526490357,77
HUST,0.73,2.2039217107615255e-05,5.523471553696215e-05,7.930025114575242e-05,0.00010161933656508973,0.00012695069615987302,77
HUST,0.74,2.4523054141571935e-05,5.1314878702910514e-05,7.637112360192049e-05,0.00010806427958983138,0.00012809218071730744,77
HUST,0.75,3.083398498990306e-05,5.0197533576481e-05,6.767079264863307e-05,8.704152469670341e-05,0.00011910205302078823,77
HUST,0.76,2.0693806946213358e-05,4.211936189201149e-05,7.476554888427123e-05,9.796658319919345e-05,0.00013300038718350542,77
HUST,0.77,2.134640163957562e-05,4.1825918516449274e-05,6.89143543856997e-05,0.00010930288882282341,0.00013633188302501244,77
HUST,0.78,1.9059124241192016e-05,4.032798024669226e-05,7.094252013272671e-05,0.0001077742969239435,0.00012878832596819416,77
HUST,0.79,2.6411986154833766e-05,4.099071544683909e-05,6.323772260755317e-05,9.174098831883618e-05,0.00013669914103914144,77
HUST,0.8,2.906056220454413e-05,4.802000604104324e-05,7.639948432280503e-05,0.00010150481134505972,0.0001313146097932832,77
HUST,0.81,1.4467784128620434e-05,3.415895210407769e-05,6.430779266912827e-05,8.254255293637274e-05,0.00011372769821791365,77
HUST,0.8200000000000001,2.1075959665136946e-05,4.5998207185012645e-05,7.462555167679614e-05,0.00010248764609041558,0.00012947383616861927,77
HUST,0.8300000000000001,3.3453701070681244e-05,4.736731248914858e-05,7.505673467290166e-05,0.00010568036979023376,0.00013630976005788486,77
HUST,0.84,1.695262764089037e-05,3.98310002497924e-05,7.521077797688236e-05,0.00010003865618843832,0.00012226573842912433,77
HUST,0.85,3.0490762892184325e-05,4.658800709166116e-05,7.112281944627519e-05,9.397099843560775e-05,0.00012022636565512015,77
HUST,0.86,3.228935937999932e-05,4.7410653989376686e-05,7.455759091525237e-05,0.00010096556684364542,0.00012373269749846693,77
HUST,0.87,2.6796696069970582e-05,5.37992085187392e-05,8.473575810625377e-05,0.00010976174564844823,0.0001297944679905055,77
HUST,0.88,2.0389936674171224e-05,3.764720799888036e-05,8.178198816085588e-05,0.00010350853506822741,0.00013160376151841166,77
HUST,0.89,2.1630598839945013e-05,4.467059425601238e-05,6.270691053933336e-05,8.913774381040961e-05,0.00011479286434608615,77
HUST,0.9,2.2095354358397627e-05,5.060565880237172e-05,6.500643143374509e-05,9.696379104575658e-05,0.00011485633625460661,77
HUST,0.91,2.234601693315509e-05,4.54267449937347e-05,7.394090506830702e-05,0.00010567077171047763,0.0001279202504811812,77
HUST,0.92,2.379654413979573e-05,5.041892229383308e-05,7.291688505261254e-05,0.00010376290118147963,0.00012829319061304732,77
HUST,0.93,2.5116523039371245e-05,4.103486833246624e-05,6.2351208459951e-05,9.847682014294065e-05,0.00012705138426894144,77
HUST,0.9400000000000001,2.821037034309214e-05,4.78747583411265e-05,7.32915494924347e-05,0.00010532368813001787,0.00012848888762187092,77
HUST,0.9500000000000001,2.697169679283682e-05,4.9570759978093546e-05,6.386529468401088e-05,0.00010452266948350833,0.00012278125608901558,77
HUST,0.96,2.2194780570605664e-05,4.156581593249834e-05,6.15834819638375e-05,0.00010087036269650151,0.0001198222563165566,77
HUST,0.97,3.2868640769470596e-05,4.747781412404709e-05,7.268795063648517e-05,0.00010531755645334954,0.00012790845642109394,77
HUST,0.98,2.6124862213568587e-05,3.743184745677164e-05,6.472542642137529e-05,9.12567333692623e-05,0.00011937622619656704,77
HUST,0.99,3.090787416496307e-05,4.433827260424687e-05,6.836787977934975e-05,0.00010018160741183399,0.00012325251756646402,77
HUST,1.0,2.0681077596895747e-05,3.679019860225452e-05,7.948361708964846e-05,0.00011717524857957073,0.0001337259801470925,77
MATR,0.0,0.009450845328391444,0.010010536248738267,0.010796969931835543,0.011583899871764558,0.012501014119653743,169
MATR,0.01,0.009340553966415518,0.010076814424339369,0.010695250407647058,0.011617639028160232,0.012511492803622874,169
MATR,0.02,0.009485442696091218,0.010093643964636554,0.010761988802740588,0.011660278026368643,0.01246007687546584,169
MATR,0.03,0.009537156776465676,0.010255225841112237,0.010891680135785812,0.011682806670445961,0.012473660793641969,169
MATR,0.04,0.009628242288863584,0.010521670769985362,0.011243687818790527,0.011957096257839361,0.012662431595458483,169
MATR,0.05,0.009790590563535801,0.010714873130915126,0.011410316893402673,0.012254808310199872,0.013105123165715363,169
MATR,0.06,0.010091289631860702,0.010897667635726046,0.011730996764422108,0.01234411167549624,0.013340998118097414,169
MATR,0.07,0.010276834932156441,0.011112850194021064,0.011961977653941655,0.01271154861390451,0.01386098733812278,169
MATR,0.08,0.010538111228467963,0.011392994743972436,0.012252509180954774,0.012957267096932505,0.013946515000060469,169
MATR,0.09,0.010700324771470753,0.011520448621912519,0.012638595042814761,0.01330155388490729,0.01418298983346833,169
MATR,0.1,0.010953961688850471,0.011794749977394136,0.01293067133527781,0.013591511293703108,0.014366334919563508,169
MATR,0.11,0.0112223345443364,0.012058369983153239,0.01328643075251995,0.014132948298520782,0.014925243370213524,169
MATR,0.12,0.011417522409667856,0.012242872087842941,0.013557251598029696,0.014494107413140367,0.015313769102740045,169
MATR,0.13,0.01178862808766306,0.012699385996934487,0.01387905355916632,0.015032389716926886,0.015921627560351728,169
MATR,0.14,0.011919077240316002,0.012973014137648158,0.014419770625617346,0.015615282331067305,0.016629444145259003,169
MATR,0.15,0.01212215205884501,0.013319480049668297,0.014878923550702505,0.016235890040643818,0.017168356116202012,169
MATR,0.16,0.012315177429970453,0.01368065483108155,0.015470887902358964,0.01689560228197741,0.017926305568383146,169
MATR,0.17,0.012623098152210025,0.014176749693845789,0.016013786411106276,0.017719053582606576,0.018875137845104153,169
MATR,0.18,0.012858611395816963,0.014377912923656153,0.016498653754019883,0.018358449563588116,0.01975528084126879,169
MATR,0.19,0.013349887386379924,0.014805599072737263,0.017149109541341682,0.018914088944725547,0.020879874384572252,169
MATR,0.2,0.013554732309266555,0.014971795712036481,0.017645305887870676,0.01979103322138201,0.02200561718994788,169
MATR,0.21,0.014005350306396134,0.01539944091931369,0.018229150469767808,0.02048183488156117,0.022961382291045863,169
MATR,0.22,0.014017436228155822,0.01576507824920794,0.019000533863452764,0.02147927344458376,0.02401715191152858,169
MATR,0.23,0.014469795681708291,0.01617212246529098,0.019504222750400195,0.022578608440538613,0.024942709071337377,169
MATR,0.24,0.014891749194174492,0.016716758758415492,0.020214860755124194,0.0236219366275337,0.025993859609057906,169
MATR,0.25,0.015330014656623654,0.016979642813007095,0.020430763611042624,0.024570682022513723,0.027396032322743492,169
MATR,0.26,0.015893700380838875,0.01725452480635731,0.021563061272764993,0.02548538330631684,0.028723783685697765,169
MATR,0.27,0.015869056742785645,0.017644645642017245,0.022177982081623908,0.026413490581112174,0.02949232628790411,169
MATR,0.28,0.016350669456684938,0.018121021244734626,0.02286165682256168,0.027458947271924966,0.030853684482564703,169
MATR,0.29,0.016812890386554407,0.018308169116617475,0.023823609257241335,0.028613096018096043,0.03232130963721287,169
MATR,0.3,0.017178351688419736,0.018937518168039433,0.02455981426840171,0.02909350350779233,0.03387981912427576,169
MATR,0.31,0.01745105393966811,0.019268506332384028,0.02522697341396001,0.03055973539845519,0.03454258622857392,169
MATR,0.32,0.017678860498175093,0.019595408579959415,0.02624765569243142,0.03152730116023046,0.036288382951457275,169
MATR,0.33,0.017647672188787246,0.019992726565282056,0.02668166443723541,0.03210420651650356,0.03763688576535822,169
MATR,0.34,0.01826283508670674,0.020497162957484976,0.02698458287581843,0.03374701945860084,0.038950522321727354,169
MATR,0.35000000000000003,0.018009625897157225,0.021078397904519177,0.027759736804841156,0.0345751876545736,0.0392084881344518,169
MATR,0.36,0.01839950136060576,0.02179091872764529,0.029037553844993392,0.035495916460721616,0.0408279132801519,169
MATR,0.37,0.019256690921424336,0.022107269110452663,0.028453371855224893,0.03673635759208942,0.04147115604366882,169
MATR,0.38,0.01934264381777921,0.022320470524989682,0.02885996800285586,0.037506595109867334,0.042859034613986775,169
MATR,0.39,0.019582099470858403,0.022905634660752995,0.030120888793699566,0.03890925335975154,0.044414655155517624,169
MATR,0.4,0.019594382962203723,0.0234689304559631,0.02958777931009071,0.04004186782896663,0.045079813560056914,169
MATR,0.41000000000000003,0.02019185953276269,0.02361475164156575,0.030166177376897203,0.040966887520923145,0.04710297622139724,169
MATR,0.42,0.02058121296915157,0.024013687749749303,0.0308586011380719,0.042628958523932114,0.046659483992159446,169
MATR,0.43,0.020314661597936483,0.02395331348179081,0.03091947720047162,0.042873439953353666,0.04842419723086754,169
MATR,0.44,0.02065779921103444,0.02453448989459839,0.0319607949508357,0.04384557292989466,0.05010869175632512,169
MATR,0.45,0.020844402059748458,0.025075254874347808,0.03201421575042454,0.043867551014786225,0.05129859996353907,169
MATR,0.46,0.02121905214432537,0.024674779742261135,0.032833586877267305,0.04451002416890677,0.05129176950222271,169
MATR,0.47000000000000003,0.021846082008555544,0.025377717135209827,0.03321922137751711,0.045722697554669775,0.05202838222669386,169
MATR,0.48,0.022380908922459874,0.02587819679141712,0.03407510587683853,0.0455224525297141,0.05247291442825923,169
MATR,0.49,0.02227986470640347,0.025870681606276136,0.03446700860821266,0.044560411867720084,0.05319153756783299,169
MATR,0.5,0.022313733941908602,0.026570882330730627,0.034260991892486437,0.046810018245797225,0.05416167925163273,169
MATR,0.51,0.02274277083021796,0.026391557612198475,0.03576469260962475,0.04801300990851133,0.05534045784837629,169
MATR,0.52,0.02216866524029538,0.02731327721259702,0.03515605816412706,0.04696702645529883,0.057520466217971314,169
MATR,0.53,0.022828125308165567,0.027781024618876115,0.03564562963941898,0.04818552793909665,0.05890218754175481,169
MATR,0.54,0.021795557141671973,0.02766564043678339,0.03689578423529676,0.049785749169032945,0.05909102266949797,169
MATR,0.55,0.021778928179695862,0.028257545664958944,0.037311860930966875,0.05003087952793361,0.06016173225351185,169
MATR,0.56,0.022228120024999642,0.02849011513140176,0.036793462034276775,0.04995286534364835,0.06091125509763163,169
MATR,0.5700000000000001,0.02314363536280013,0.028222346420194305,0.036637624273380465,0.05199197648810404,0.061629645211339804,169
MATR,0.58,0.02208763629294993,0.029203047243121238,0.03905248271154132,0.05242764010005666,0.06287470863318992,169
MATR,0.59,0.02274193399450725,0.029892805669837416,0.0394075060456143,0.0534841260100337,0.06361061586642741,169
MATR,0.6,0.023588809375282203,0.02966446466514583,0.04012477411472108,0.054376148541673164,0.06500651016076367,169
MATR,0.61,0.02381775307737794,0.02966234072179278,0.040177978193997335,0.05491271819665479,0.06616178735699849,169
MATR,0.62,0.02317906671544347,0.030140540348845966,0.04128421927962678,0.056545006586263234,0.067260898521081,169
MATR,0.63,0.02380627212181425,0.029914688998310526,0.04114131682696842,0.056766367546814675,0.06832391728770618,169
MATR,0.64,0.023848392401493657,0.030561725029812227,0.04163962973352235,0.05963971220895736,0.06962929090759354,169
MATR,0.65,0.023872628639567232,0.030312872470948663,0.04208253143315856,0.05977930106435448,0.07079258879211205,169
MATR,0.66,0.023636941194591997,0.03073060800247573,0.04262257138943313,0.061004297152788566,0.07081755600490593,169
MATR,0.67,0.024319535702749705,0.030759219622325952,0.04243234146271852,0.0610794577368585,0.07118722948211754,169
MATR,0.68,0.02337892584538196,0.03154912927919913,0.04193252252000151,0.06208725379196689,0.0722090466615982,169
MATR,0.6900000000000001,0.022859640648594793,0.03136205990875484,0.0438372119597526,0.06348539303987932,0.07254757158420706,169
MATR,0.7000000000000001,0.02331516467860477,0.03204502116899076,0.04419783653872897,0.06401800447932693,0.07450372802292,169
MATR,0.71,0.024345883186618043,0.0317990788130537,0.04435290782267297,0.06528361786770885,0.07482709893774091,169
MATR,0.72,0.023807753345384937,0.0320947440793518,0.04501259395409642,0.06489542490044241,0.07522318129904142,169
MATR,0.73,0.02368604090982,0.031904562438192424,0.04465259890472599,0.0643743192286769,0.07643173112441036,169
MATR,0.74,0.02380820509888702,0.032483475937884566,0.04669195175088883,0.06625075022688795,0.07790718351882603,169
MATR,0.75,0.024830989966575224,0.03301276507666942,0.04754071975442237,0.06863116526726798,0.07961079938534643,169
MATR,0.76,0.0255962828282043,0.033629885474264064,0.04790722022313163,0.06843300678897264,0.08299618315211628,169
MATR,0.77,0.026549455041184784,0.035163325459438226,0.04838398583992906,0.06955310503240661,0.08446835665733067,169
MATR,0.78,0.026955618172922965,0.03452365086212157,0.04898345103895045,0.07088643386219154,0.08506699210600424,169
MATR,0.79,0.026586996513313865,0.03516518506479852,0.05009644048592767,0.07217283776389123,0.08589819986502313,169
MATR,0.8,0.027447028277005958,0.036791379688146116,0.051892546816480256,0.07447161226428631,0.08653938244593434,169
MATR,0.81,0.028803174878584775,0.037205675777278416,0.05329106705652534,0.077928017881175,0.0886179551435862,169
MATR,0.8200000000000001,0.02862165333577839,0.040277764911894845,0.05397349628107122,0.07776342470939666,0.08986355209926482,169
MATR,0.8300000000000001,0.030236281233076725,0.040680549403223576,0.055721181559472775,0.07974983782842829,0.09252741301430967,169
MATR,0.84,0.029998879348556055,0.041403427998035966,0.05761120604367972,0.08167546536626552,0.09423781833710079,169
MATR,0.85,0.03172599455597822,0.04298710280719953,0.057394171175203644,0.0830472664164372,0.09593342652549333,169
MATR,0.86,0.03172287792512397,0.04399077682592943,0.059005410506339576,0.08512809814679763,0.09877792465127382,169
MATR,0.87,0.032459950712004484,0.04537428552150402,0.06119603569008094,0.08848334255546784,0.09777971201482612,169
MATR,0.88,0.0347939227425719,0.046438351281551375,0.06363730834402238,0.09023937818578345,0.09994178566538087,169
MATR,0.89,0.036038138211634985,0.04657177183057122,0.06525878641496365,0.09298179612021919,0.10217624846375574,169
MATR,0.9,0.03566505677678767,0.04807928259569573,0.06763240424736827,0.09246635959129378,0.10301559721066562,169
MATR,0.91,0.0378884271434762,0.05238240108078154,0.06886677110313072,0.09460823259319821,0.10621047099264001,169
MATR,0.92,0.03937094097937628,0.052230347860938144,0.07160005169793936,0.09712283517000139,0.10735372167502497,169
MATR,0.93,0.0398871591265021,0.05402369355272413,0.0727820132739696,0.09861734053461334,0.10988310759808642,169
MATR,0.9400000000000001,0.041202974935154194,0.05715287060528999,0.07368204016798736,0.09892062434052838,0.11009784676412152,169
MATR,0.9500000000000001,0.04342426526962514,0.05938965724415717,0.0749730063255452,0.10124666522517758,0.11115057816681934,169
MATR,0.96,0.04541153391407196,0.05900946259821807,0.07762767487659336,0.10256504717449144,0.1119527163066852,169
MATR,0.97,0.047016867810450315,0.06138585114329901,0.07926547795195793,0.10364536388649481,0.11315958673233274,169
MATR,0.98,0.04882511152980181,0.06536938514414019,0.0812268043111305,0.10404380692992914,0.11370430562334911,169
MATR,0.99,0.05024403013582486,0.06796940968099553,0.08380691988550108,0.10420288534485433,0.11436295929468537,169
MATR,1.0,0.05248831969531629,0.06872918386192894,0.08454102618406778,0.10609149088204806,0.11408774038181176,169
