cell_id,batch,num_cycles,first_cycle,last_cycle,initial_soh,final_soh,eol_threshold,first_eol_crossing_cycle,reached_eol_threshold
MATR_b2c21,b2,519,1,519,0.9789817272727271,0.751266209090909,0.8,488.0,True
MATR_b2c22,b2,539,1,539,0.9815663636363635,0.7518125636363636,0.8,512.0,True
MATR_b2c23,b2,561,1,561,0.9768371818181817,0.7507804272727272,0.8,526.0,True
MATR_b2c24,b2,523,1,523,0.9708801818181817,0.7510939,0.8,494.0,True
MATR_b2c25,b2,486,1,486,0.9702430909090908,0.7509148636363636,0.8,460.0,True
MATR_b2c26,b2,497,1,497,0.9787646363636363,0.7507357818181818,0.8,470.0,True
MATR_b2c27,b2,494,1,494,0.9689463636363636,0.7509266818181818,0.8,467.0,True
MATR_b2c28,b2,540,1,540,0.9741363636363636,0.7516299636363636,0.8,508.0,True
MATR_b2c29,b2,521,1,521,0.9750039090909091,0.7517141090909091,0.8,497.0,True
MATR_b2c3,b2,360,1,360,0.9698644545454544,0.7504671272727272,0.8,334.0,True
MATR_b2c30,b2,506,1,506,0.9702547272727271,0.7509818363636364,0.8,480.0,True
MATR_b2c31,b2,518,1,518,0.9757084545454545,0.7511927909090909,0.8,491.0,True
MATR_b2c32,b2,543,1,543,0.9766062727272726,0.7518957999999999,0.8,518.0,True
MATR_b2c33,b2,545,1,545,0.9809563636363635,0.7508300636363636,0.8,519.0,True
MATR_b2c34,b2,525,1,525,0.9716826363636363,0.7517704636363636,0.8,498.0,True
MATR_b2c35,b2,485,1,485,0.9715651818181817,0.7508143545454545,0.8,462.0,True
MATR_b2c36,b2,559,1,559,0.9815736363636363,0.7519610363636363,0.8,534.0,True
MATR_b2c37,b2,501,1,501,0.9771059999999998,0.7514973636363635,0.8,477.0,True
MATR_b2c38,b2,486,1,486,0.9726815454545453,0.7502856545454545,0.8,464.0,True
MATR_b2c39,b2,479,1,479,0.9804193636363636,0.7522000545454545,0.8,458.0,True
MATR_b2c4,b2,470,1,470,0.9753611818181817,0.7506146181818182,0.8,443.0,True
MATR_b2c40,b2,529,1,529,0.9786835454545453,0.7510267636363636,0.8,498.0,True
MATR_b2c41,b2,451,1,451,0.9710953636363636,0.7513990181818181,0.8,428.0,True
MATR_b2c42,b2,491,1,491,0.9800217272727272,0.7509289545454544,0.8,465.0,True
MATR_b2c43,b2,486,1,486,0.9759678181818182,0.7509591909090908,0.8,461.0,True
MATR_b2c44,b2,477,1,477,0.9735336363636362,0.7507566454545455,0.8,455.0,True
MATR_b2c45,b2,513,1,513,0.973156909090909,0.7500358636363635,0.8,486.0,True
MATR_b2c46,b2,448,1,448,0.9751034545454546,0.7519086363636363,0.8,428.0,True
MATR_b2c47,b2,744,1,744,0.9473977272727271,0.7510935727272726,0.8,712.0,True
MATR_b2c5,b2,506,1,506,0.9709229999999999,0.7500895,0.8,479.0,True
MATR_b2c6,b2,544,1,544,0.9715809999999999,0.7505299818181818,0.8,510.0,True
MATR_b3c0,b3,1007,1,1007,0.9704137272727272,0.8003935454545453,0.8,,False
MATR_b3c1,b3,1061,1,1061,0.9682366363636363,0.8002485454545454,0.8,,False
MATR_b3c10,b3,1076,1,1076,0.9652496363636361,0.8005825999999999,0.8,,False
MATR_b3c11,b3,815,1,815,0.9709708181818181,0.8010306181818182,0.8,,False
MATR_b3c12,b3,930,1,930,0.976513909090909,0.8007344363636363,0.8,,False
MATR_b3c13,b3,814,1,814,0.9686890909090908,0.8002233545454545,0.8,,False
MATR_b3c14,b3,856,1,856,0.975186909090909,0.8005967999999999,0.8,,False
MATR_b3c15,b3,874,1,874,0.9712897272727272,0.800527709090909,0.8,,False
MATR_b3c16,b3,1636,1,1636,0.9645536363636363,0.8001352454545454,0.8,,False
MATR_b3c17,b3,1313,1,1313,0.9695012727272727,0.8003942,0.8,,False
MATR_b3c18,b3,1144,1,1144,0.9709306363636362,0.8000354909090909,0.8,,False
MATR_b3c19,b3,1153,1,1153,0.9744770909090907,0.8000670272727272,0.8,,False
MATR_b3c20,b3,811,1,811,0.9682274545454544,0.800538009090909,0.8,,False
MATR_b3c21,b3,770,1,770,0.9707784545454545,0.8001802727272727,0.8,,False
MATR_b3c22,b3,1000,1,1000,0.9602402727272726,0.8008551636363636,0.8,,False
MATR_b3c24,b3,823,1,823,0.9511574545454544,0.8001938727272727,0.8,,False
MATR_b3c25,b3,987,1,987,0.9646638181818181,0.8015183454545454,0.8,,False
MATR_b3c26,b3,1026,1,1026,0.9745623636363636,0.8002141909090909,0.8,,False
MATR_b3c27,b3,848,1,848,0.9640155454545454,0.800022809090909,0.8,,False
MATR_b3c28,b3,539,1,539,0.9562425454545453,0.8000996454545454,0.8,,False
MATR_b3c29,b3,856,1,856,0.9694261818181817,0.8000664272727273,0.8,,False
MATR_b3c3,b3,1113,1,1113,0.9662629090909091,0.8005309636363636,0.8,,False
MATR_b3c30,b3,933,1,933,0.9715811818181818,0.8002256818181818,0.8,,False
MATR_b3c31,b3,729,1,729,0.971073818181818,0.8002851727272727,0.8,,False
MATR_b3c33,b3,1282,1,1282,0.9638836363636364,0.8007250090909089,0.8,,False
MATR_b3c34,b3,1156,1,1156,0.965031818181818,0.8001562181818181,0.8,,False
MATR_b3c35,b3,1091,1,1091,0.9667094545454544,0.8001066909090908,0.8,,False
MATR_b3c36,b3,921,1,921,0.9613897272727272,0.8005476545454545,0.8,,False
MATR_b3c38,b3,1933,1,1933,0.9728611818181817,0.8000041636363636,0.8,,False
MATR_b3c39,b3,1154,1,1154,0.9521850909090909,0.8003929545454546,0.8,,False
MATR_b3c4,b3,1046,1,1046,0.9749786363636364,0.8000133272727271,0.8,,False
MATR_b3c40,b3,794,1,794,0.9630213636363636,0.8006429636363636,0.8,,False
MATR_b3c41,b3,784,1,784,0.955019909090909,0.8005666181818182,0.8,,False
MATR_b3c44,b3,938,1,938,0.9724727272727272,0.8004216181818181,0.8,,False
MATR_b3c45,b3,1799,1,1799,0.9723168181818181,0.8004295818181817,0.8,,False
MATR_b3c5,b3,826,1,826,0.9558641818181817,0.8006083454545454,0.8,,False
MATR_b3c6,b3,665,1,665,0.9660112727272726,0.8004779727272726,0.8,,False
MATR_b3c7,b3,1834,1,1834,0.9704743636363635,0.8003305272727272,0.8,,False
MATR_b3c8,b3,826,1,826,0.967942,0.8008554272727273,0.8,,False
MATR_b3c9,b3,1037,1,1037,0.972256909090909,0.8001012727272726,0.8,,False
MATR_b4c0,b4,982,1,982,0.9462618181818181,0.5335607818181818,0.8,856.0,True
MATR_b4c1,b4,861,1,861,0.9532603636363636,0.5862795181818181,0.8,760.0,True
MATR_b4c10,b4,1082,1,1082,0.965720090909091,0.4057539636363636,0.8,872.0,True
MATR_b4c11,b4,930,1,930,0.9632215454545454,0.708260809090909,0.8,863.0,True
MATR_b4c12,b4,898,1,898,0.9620765454545452,0.6425417545454545,0.8,818.0,True
MATR_b4c13,b4,869,1,869,0.9692220909090907,0.5888787181818181,0.8,771.0,True
MATR_b4c14,b4,767,1,767,0.9644428181818181,0.4507227909090909,0.8,607.0,True
MATR_b4c15,b4,871,1,871,0.9653680909090908,0.3570606727272727,0.8,675.0,True
MATR_b4c16,b4,983,1,983,0.9608135454545454,0.6817360363636363,0.8,909.0,True
MATR_b4c17,b4,930,1,930,0.9454133636363635,0.6294339363636363,0.8,827.0,True
MATR_b4c18,b4,1057,1,1057,0.9554094545454546,0.5599393636363637,0.8,906.0,True
MATR_b4c19,b4,1111,1,1111,0.9547239999999998,0.5839974272727272,0.8,991.0,True
MATR_b4c2,b4,784,1,784,0.9571735454545454,0.7205661363636363,0.8,742.0,True
MATR_b4c20,b4,804,1,804,0.9499221818181817,0.7171081454545454,0.8,747.0,True
MATR_b4c21,b4,903,1,903,0.9593945454545454,0.5105261909090909,0.8,773.0,True
MATR_b4c22,b4,745,1,745,0.9550688181818181,0.605261709090909,0.8,671.0,True
MATR_b4c23,b4,1094,1,1094,0.9530948181818182,0.7200492545454545,0.8,1038.0,True
MATR_b4c24,b4,1115,1,1115,0.9506609999999999,0.5911384363636363,0.8,988.0,True
MATR_b4c25,b4,567,1,567,0.9392684545454545,0.4820561909090908,0.8,453.0,True
MATR_b4c26,b4,579,1,579,0.9423678181818181,0.4820003818181818,0.8,476.0,True
MATR_b4c27,b4,563,1,563,0.9425263636363634,0.6086392818181818,0.8,500.0,True
MATR_b4c28,b4,882,1,882,0.9678836363636364,0.6869258090909091,0.8,828.0,True
MATR_b4c29,b4,956,1,956,0.9690307272727272,0.692103509090909,0.8,887.0,True
MATR_b4c3,b4,911,1,911,0.9520013636363635,0.4695299545454545,0.8,777.0,True
MATR_b4c30,b4,719,1,719,0.9541032727272727,0.6165992636363636,0.8,615.0,True
MATR_b4c31,b4,832,1,832,0.9560879999999999,0.23376573636363635,0.8,559.0,True
MATR_b4c32,b4,839,1,839,0.9589476363636363,0.6330525363636363,0.8,754.0,True
MATR_b4c33,b4,530,1,530,0.9673793636363635,0.7272999909090908,0.8,505.0,True
MATR_b4c34,b4,997,1,997,0.9547636363636364,0.6540081727272727,0.8,891.0,True
MATR_b4c35,b4,1131,1,1131,0.958001,0.7265107181818181,0.8,1081.0,True
MATR_b4c36,b4,713,1,713,0.9629059090909091,0.4823194818181818,0.8,599.0,True
MATR_b4c37,b4,1005,1,1005,0.9483651818181817,0.5425964181818181,0.8,863.0,True
MATR_b4c38,b4,1230,1,1230,0.9613796363636362,0.7537326999999999,0.8,1055.0,True
MATR_b4c39,b4,761,1,761,0.9533142727272726,0.7552901727272727,0.8,738.0,True
MATR_b4c4,b4,912,1,912,0.9457486363636363,0.22817332727272724,0.8,656.0,True
MATR_b4c40,b4,1122,1,1122,0.9623634545454546,0.7623546272727272,0.8,871.0,True
MATR_b4c41,b4,997,1,997,0.9603334545454544,0.3939060727272727,0.8,836.0,True
MATR_b4c42,b4,915,1,915,0.9542047272727271,0.4828867,0.8,774.0,True
MATR_b4c43,b4,951,1,951,0.9468091818181819,0.4127323363636364,0.8,750.0,True
MATR_b4c44,b4,1077,1,1077,0.949113,0.5859904363636363,0.8,942.0,True
MATR_b4c5,b4,1067,1,1067,0.9429119090909089,0.5514941454545453,0.8,913.0,True
MATR_b4c6,b4,777,1,777,0.9422953636363637,0.6705157363636363,0.8,706.0,True
MATR_b4c7,b4,562,1,562,0.956401,0.693585009090909,0.8,529.0,True
MATR_b4c8,b4,718,1,718,0.9539308181818181,0.7236279181818182,0.8,677.0,True
MATR_b4c9,b4,529,1,529,0.9619180909090909,0.5945433272727273,0.8,442.0,True
