iteration,method,total_loss,query_loss,L_T,L_GY,L_G,L_S,L_R,L_C,L_O,L_delta,general_domain_accuracy_batch,specific_domain_accuracy_batch,mean_absolute_specific_residual,outer_gradient_norm,grl_strength,source_validation_mae_cycles,source_validation_general_domain_accuracy,source_validation_specific_domain_accuracy,support_loss,inner_update_specific_encoder,inner_update_general_head
11,hybrid,0.7601420283317566,0.3527013659477234,0.3527013659477234,0.35043418407440186,2.174806594848633,2.3015918731689453,0.47890836000442505,0.3609045147895813,0.00019759609131142497,0.00359909376129508,0.25,0.25,28.262271881103516,3.6518540382385254,0.03665024339991274,,,,0.3912331461906433,0.0023142665158957243,0.03047402761876583
12,hybrid,0.5377306342124939,0.20704405009746552,0.20704405009746552,0.23155441880226135,2.086879253387451,2.1290712356567383,0.4070564806461334,0.0035534920170903206,0.00019728721235878766,0.0038132364861667156,0.25,0.25,29.215702056884766,2.542955160140991,0.039978680311163695,,,,0.4023900032043457,0.0016672990750521421,0.016728423535823822
13,hybrid,0.6029425263404846,0.2500556409358978,0.2500556409358978,0.24947696924209595,2.21352219581604,2.2467732429504395,0.4564095735549927,0.0566781647503376,8.45159956952557e-05,0.0018799619283527136,0.25,0.25,20.07807159423828,2.323387384414673,0.043306230233800314,,,,0.4044281244277954,0.0020283423364162445,0.035047147423028946
14,hybrid,0.7887661457061768,0.3693833649158478,0.3693833649158478,0.3522283434867859,2.279301643371582,2.32590389251709,0.37258169054985046,0.9276895523071289,0.00021703538368456066,0.0034520907793194056,0.0,0.0,27.41382598876953,3.2420084476470947,0.04663281960770016,,,,0.5812019109725952,0.0023241634480655193,0.03358597680926323
15,hybrid,0.5836920738220215,0.23836742341518402,0.23836742341518402,0.2529563307762146,2.149653434753418,2.0999906063079834,0.46823564171791077,0.16777753829956055,8.94520417205058e-05,0.0032874010503292084,0.25,0.125,25.139240264892578,1.7513049840927124,0.049958374957880025,,,,0.14547374844551086,0.0027722667437046766,0.014942353591322899
16,hybrid,0.8933916687965393,0.44146209955215454,0.44146209955215454,0.44170305132865906,2.270969867706299,2.165773868560791,0.4332313537597656,0.49057555198669434,8.870179590303451e-05,0.0018737348727881908,0.0,0.0,16.48304557800293,3.3936824798583984,0.05328282290096786,,,,0.4646008014678955,0.002787831239402294,0.025140050798654556
17,hybrid,0.7249170541763306,0.33246245980262756,0.33246245980262756,0.3323640823364258,2.2791800498962402,2.1355037689208984,0.4473874568939209,0.10627063363790512,0.00013911968562752008,0.0004982214886695147,0.125,0.25,9.102011680603027,2.0553648471832275,0.05660609015165763,,,,0.3948426842689514,0.0025755558162927628,0.022447379305958748
18,hybrid,0.5497446656227112,0.21320904791355133,0.21320904791355133,0.2199457585811615,2.2580862045288086,2.1085357666015625,0.4261992871761322,0.3966939151287079,9.397904068464413e-05,0.001785642234608531,0.0,0.125,17.028656005859375,3.2171707153320312,0.05992810352914346,,,,0.4570578932762146,0.0018360825488343835,0.018015090376138687
19,hybrid,0.9523040056228638,0.4893823266029358,0.4893823266029358,0.4951034188270569,2.0509862899780273,2.023007392883301,0.2719757556915283,0.8946570158004761,0.0001383868366247043,0.0025157523341476917,0.375,0.125,21.979232788085938,2.5508995056152344,0.06324878996353722,,,,0.15047213435173035,0.00135329132899642,0.013053586706519127
20,hybrid,0.5373231768608093,0.21828718483448029,0.21828718483448029,0.2056163251399994,2.115370512008667,2.1316254138946533,0.3390088975429535,0.048515986651182175,0.00013261828280519694,0.0015047644264996052,0.0,0.125,15.07358455657959,2.2683451175689697,0.06656807650226271,,,,0.17199350893497467,0.001813229639083147,0.019202493131160736
21,hybrid,0.5203811526298523,0.20591482520103455,0.20591482520103455,0.20318666100502014,2.0766940116882324,2.053447723388672,0.2748252749443054,0.36142539978027344,0.00021882893634028733,0.0011877025244757533,0.375,0.25,15.819889068603516,1.5618400573730469,0.069885890316429,,,,0.3067610561847687,0.0025180228985846043,0.022150127217173576
22,hybrid,0.7050926685333252,0.3148958384990692,0.3148958384990692,0.3344137370586395,2.200580596923828,2.0991861820220947,0.30267783999443054,0.49720025062561035,0.00012646439427044243,0.0016193613409996033,0.25,0.125,15.490713119506836,3.40547251701355,0.07320215870718139,,,,0.17507405579090118,0.0014823992969468236,0.013385666534304619
23,hybrid,0.5536414384841919,0.2145051658153534,0.2145051658153534,0.23711204528808594,2.159518241882324,2.1959948539733887,0.2615712881088257,0.01851005293428898,0.0001306052436120808,0.0024973698891699314,0.0,0.0,17.384082794189453,3.9317195415496826,0.0765168091120263,,,,0.2769181728363037,0.002513689687475562,0.015793725848197937
24,hybrid,0.7527145147323608,0.35445645451545715,0.35445645451545715,0.3581843376159668,2.1897189617156982,2.0987658500671387,0.40550559759140015,0.06832800805568695,0.00013339531142264605,0.002050123643130064,0.125,0.25,16.953771591186523,1.2960588932037354,0.07982976911113138,,,,0.23703107237815857,0.002789701335132122,0.017866777256131172
25,hybrid,0.6404048800468445,0.2785417139530182,0.2785417139530182,0.29940569400787354,2.118480920791626,2.050473213195801,0.3235516846179962,0.0472276508808136,0.00014903975534252822,0.003309388179332018,0.25,0.25,23.125572204589844,2.0188944339752197,0.0831409664335998,291.6153564453125,0.1111111111111111,0.1111111111111111,0.38099953532218933,0.0029350619297474623,0.02387712523341179
26,hybrid,0.6415929794311523,0.2708491086959839,0.2708491086959839,0.2803601622581482,2.3024308681488037,2.1789636611938477,0.3284998834133148,0.32036206126213074,8.773244189796969e-05,0.004567243624478579,0.0,0.125,28.005205154418945,1.5082415342330933,0.0864503289637153,,,,0.2712353467941284,0.003250440349802375,0.020565178245306015
27,hybrid,0.5659950971603394,0.23271077871322632,0.23271077871322632,0.22907371819019318,2.1881766319274902,2.1090519428253174,0.2731933295726776,0.11489930003881454,0.000150588050018996,0.0036109245847910643,0.125,0.125,28.173473358154297,2.966586112976074,0.08975778474716023,,,,0.22885870933532715,0.0023088157176971436,0.01569344475865364
28,hybrid,0.48217952251434326,0.1722407042980194,0.1722407042980194,0.1905478835105896,2.1328935623168945,2.0871922969818115,0.2628999352455139,0.10258273780345917,0.0001184453722089529,0.004534799139946699,0.125,0.25,27.160865783691406,1.407265067100525,0.09306326199720005,,,,0.2932659387588501,0.0034651202149689198,0.0194205641746521
29,hybrid,0.5329847931861877,0.2020644247531891,0.2020644247531891,0.23417595028877258,2.1691465377807617,2.0405478477478027,0.3236110806465149,0.010649146512150764,8.688692469149828e-05,0.004136788658797741,0.25,0.25,29.808547973632812,1.3615995645523071,0.0963666891008419,,,,0.11631500720977783,0.0026051513850688934,0.008901545777916908
30,hybrid,0.6196072697639465,0.2891816794872284,0.2891816794872284,0.25084418058395386,2.0527987480163574,1.9809215068817139,0.3107104003429413,0.019855517894029617,8.889481978258118e-05,0.010994326323270798,0.375,0.625,45.30635070800781,3.313819408416748,0.0996679946249559,,,,0.2751932144165039,0.0031929784454405308,0.022051285952329636
31,hybrid,0.6463873386383057,0.302784264087677,0.302784264087677,0.2825746536254883,2.026336193084717,1.9218223094940186,0.23332031071186066,0.2566407322883606,0.00017506832955405116,0.006524529308080673,0.375,0.5,38.49911880493164,1.1680058240890503,0.10296710732236503,,,,0.2652711272239685,0.005759791005402803,0.024247054010629654
32,hybrid,0.47119128704071045,0.1657671332359314,0.1657671332359314,0.20596081018447876,2.033656597137451,1.9542176723480225,0.26344189047813416,0.04016618803143501,0.00011630405060714111,0.012796934694051743,0.25,0.375,48.4122428894043,1.2440105676651,0.1062639561379024,,,,0.21086415648460388,0.002460986375808716,0.015059851109981537
33,hybrid,0.41350340843200684,0.1288035362958908,0.1288035362958908,0.1353543996810913,2.168790102005005,2.1028995513916016,0.3120150864124298,0.031524285674095154,0.0001172311749542132,0.001600972143933177,0.125,0.0,17.652685165405273,0.6168972253799438,0.10955847021442966,,,,0.11153854429721832,0.0027206866070628166,0.013475598767399788
34,hybrid,0.5809395909309387,0.2426920086145401,0.2426920086145401,0.2684578597545624,2.071608066558838,1.9395791292190552,0.2340487390756607,0.11100885272026062,0.0001369441015413031,0.0073297712951898575,0.0,0.0,36.73113250732422,2.6461732387542725,0.11285057889882033,,,,0.06237051635980606,0.0018959323642775416,0.008945940062403679
35,hybrid,0.6143033504486084,0.25488603115081787,0.25488603115081787,0.27939674258232117,2.196787118911743,2.088207721710205,0.32644835114479065,0.21956869959831238,9.60121542448178e-05,0.007973616942763329,0.125,0.25,36.388553619384766,3.941061496734619,0.11614021174790645,,,,0.1417454332113266,0.0019988021813333035,0.014134758152067661
36,hybrid,0.5993287563323975,0.25294238328933716,0.25294238328933716,0.27377086877822876,2.112116813659668,2.014134407043457,0.29978132247924805,0.01860933192074299,5.758163024438545e-05,0.003900563344359398,0.25,0.375,25.136859893798828,0.8920417428016663,0.11942729853438583,,,,0.174098938703537,0.0027452227659523487,0.015474062412977219
37,hybrid,0.4358302652835846,0.15199418365955353,0.15199418365955353,0.14339102804660797,2.1760525703430176,2.019787549972534,0.21707609295845032,0.016457246616482735,0.0001087324635591358,0.012122243642807007,0.125,0.25,46.58230972290039,2.7913386821746826,0.12271176925268779,,,,0.36941957473754883,0.004290116485208273,0.016102461144328117
38,hybrid,0.32815995812416077,0.0721956416964531,0.0721956416964531,0.11136408150196075,2.119906187057495,1.8292253017425537,0.251938134431839,0.02831241488456726,0.0001415601873304695,0.021816633641719818,0.25,0.625,58.69385528564453,1.5380141735076904,0.12599355412480095,,,,0.311940997838974,0.004913256503641605,0.01979054883122444
39,hybrid,0.7258922457695007,0.341057687997818,0.341057687997818,0.35648760199546814,2.123312473297119,1.9217207431793213,0.290630042552948,0.14262822270393372,0.00013852675328962505,0.005098919849842787,0.125,0.5,31.521223068237305,2.2147810459136963,0.12927258360605842,,,,0.20236654579639435,0.002946803579106927,0.012324229814112186
40,hybrid,0.4974004328250885,0.18944847583770752,0.18944847583770752,0.19434675574302673,2.1335105895996094,1.9880964756011963,0.19319060444831848,0.2749283015727997,8.769416308496147e-05,0.01613231748342514,0.0,0.125,52.61198425292969,1.3952000141143799,0.13254878839087847,,,,0.33376801013946533,0.004648928996175528,0.024594780057668686
41,hybrid,0.3635886609554291,0.09225599467754364,0.09225599467754364,0.14558792114257812,1.9952605962753296,1.925009846687317,0.18728503584861755,0.06329936534166336,0.00013156577188055962,0.01802530512213707,0.25,0.375,58.57759094238281,2.3616251945495605,0.13582209941846446,,,,0.4170142114162445,0.006578283850103617,0.029219133779406548
42,hybrid,0.5207718014717102,0.1905243992805481,0.1905243992805481,0.23680850863456726,2.1621837615966797,2.012317657470703,0.3006972074508667,0.008936414495110512,9.04210246517323e-05,0.02086200937628746,0.25,0.125,65.40330505371094,2.0426886081695557,0.1390924478784581,,,,0.33686500787734985,0.007105636410415173,0.022095568478107452
43,hybrid,0.5830538272857666,0.23289445042610168,0.23289445042610168,0.30493229627609253,2.022141456604004,1.8660778999328613,0.20836083590984344,0.11726793646812439,0.00010877474414883181,0.024920862168073654,0.25,0.25,70.69895935058594,3.124925136566162,0.14235976521654714,,,,0.20717406272888184,0.005548064596951008,0.017628461122512817
44,hybrid,0.3662722110748291,0.09589481353759766,0.09589481353759766,0.11225466430187225,2.135340690612793,2.004075527191162,0.2792712450027466,0.4448726177215576,5.9255369706079364e-05,0.03722658008337021,0.0,0.25,86.05250549316406,2.7824628353118896,0.14562398314002767,,,,0.4211287200450897,0.008293288759887218,0.02849316969513893
45,hybrid,0.6678408980369568,0.27760496735572815,0.27760496735572815,0.35697096586227417,2.1195693016052246,2.0251317024230957,0.3667452037334442,0.08021798729896545,3.805373125942424e-05,0.04538077488541603,0.25,0.375,101.686767578125,1.992653727531433,0.14888503362331806,,,,0.2809882164001465,0.007482202257961035,0.024486079812049866
46,hybrid,0.48694467544555664,0.19968494772911072,0.19968494772911072,0.13423319160938263,2.2267379760742188,2.0719518661499023,0.39507147669792175,0.12233282625675201,7.864439248805866e-05,0.033868297934532166,0.0,0.0,78.96958923339844,2.679656505584717,0.15214284891342422,,,,0.34615832567214966,0.0035438998602330685,0.019978102296590805
47,hybrid,0.5187755227088928,0.2334212362766266,0.2334212362766266,0.1638869196176529,2.138362407684326,1.8642768859863281,0.299542099237442,0.023711945861577988,4.719138814834878e-05,0.045864321291446686,0.25,0.5,100.62767791748047,3.1905007362365723,0.15539736153535721,,,,0.3791171610355377,0.014039977453649044,0.021130066365003586
48,hybrid,0.5468431711196899,0.20992636680603027,0.20992636680603027,0.22367851436138153,2.303638458251953,2.094543933868408,0.41692113876342773,0.09900051355361938,3.938402369385585e-05,0.00876758061349392,0.0,0.375,46.04541778564453,0.8187233805656433,0.158648504297499,,,,0.3150148093700409,0.003889871994033456,0.020979024469852448
49,hybrid,0.7678808569908142,0.39775246381759644,0.39775246381759644,0.29741767048835754,2.1049180030822754,2.203953981399536,0.28502947092056274,0.310930073261261,0.00018772284965962172,0.014522185549139977,0.25,0.25,57.48386764526367,4.171955585479736,0.16189621029691703,,,,0.1440066695213318,0.01292323786765337,0.019419368356466293
50,hybrid,0.4475107789039612,0.14033325016498566,0.14033325016498566,0.19887754321098328,2.0775792598724365,1.9964277744293213,0.3016490340232849,0.10101000219583511,0.00012988719390705228,0.010493122972548008,0.125,0.125,49.50294494628906,2.6394951343536377,0.16514041292462944,292.7035827636719,0.3333333333333333,0.1111111111111111,0.28934335708618164,0.0031581418588757515,0.016593225300312042
51,hybrid,0.3861313462257385,0.10340448468923569,0.10340448468923569,0.13979211449623108,2.1381962299346924,2.007504940032959,0.32016849517822266,0.23267196118831635,7.222886779345572e-05,0.016588568687438965,0.125,0.125,64.21308898925781,1.2503061294555664,0.16838104587081482,,,,0.2798614799976349,0.0023078289814293385,0.02098587527871132
52,hybrid,0.3777504563331604,0.0914517417550087,0.0914517417550087,0.12867531180381775,2.204397678375244,2.1430740356445312,0.4321451783180237,0.024828871712088585,5.582904850598425e-05,0.017121922224760056,0.125,0.375,64.85549926757812,1.2459466457366943,0.17161804312996987,,,,0.5644219517707825,0.0025716673117130995,0.030416222289204597
53,hybrid,0.23298777639865875,0.01771615445613861,0.01771615445613861,0.03688871115446091,2.1304986476898193,1.7511019706726074,0.26069140434265137,0.012044383212924004,0.0001676744723226875,0.018180562183260918,0.125,0.375,67.25212860107422,0.41121867299079895,0.17485133900601246,,,,0.14117315411567688,0.0011549887713044882,0.011713653802871704
54,hybrid,0.8256361484527588,0.4152911305427551,0.4152911305427551,0.33775994181632996,2.1372103691101074,2.6362428665161133,0.2717028856277466,0.0053161936812102795,0.00012060832523275167,0.020961925387382507,0.25,0.0,72.12372589111328,3.6928367614746094,0.17808086811733026,,,,0.3508857488632202,0.0024054222740232944,0.020294100046157837
55,hybrid,0.983840823173523,0.5297256708145142,0.5297256708145142,0.39160653948783875,2.1546335220336914,2.923110008239746,0.41164371371269226,0.028865600004792213,0.00016750906070228666,0.017936326563358307,0.25,0.0,66.47599792480469,5.992367744445801,0.1813065654017716,,,,0.2641812562942505,0.0016817401628941298,0.021501673385500908
56,hybrid,1.1916252374649048,0.674258828163147,0.674258828163147,0.5949843525886536,2.072628974914551,2.2689778804779053,0.219997838139534,0.05807714909315109,8.270850230474025e-05,0.012302858754992485,0.25,0.0,55.23394775390625,3.4813129901885986,0.18452836612158308,,,,0.26740196347236633,0.002112009096890688,0.023013658821582794
57,hybrid,0.7931773662567139,0.3974062502384186,0.3974062502384186,0.36512547731399536,1.8920174837112427,2.292292594909668,0.2491474598646164,0.1492334008216858,9.818043326959014e-05,0.008138526231050491,0.5,0.0,44.90458679199219,3.016202926635742,0.1877462058682855,,,,0.09891669452190399,0.0013039038749411702,0.011194482445716858
58,hybrid,0.4157509207725525,0.1309828758239746,0.1309828758239746,0.14089538156986237,2.0730957984924316,2.136730670928955,0.3556135296821594,0.026849551126360893,0.00010045606904895976,0.003403134411200881,0.25,0.0,28.71415901184082,1.023488163948059,0.1909600205674966,,,,0.17543072998523712,0.0014642500318586826,0.013550616800785065
59,hybrid,0.5735570192337036,0.23486566543579102,0.23486566543579102,0.22451722621917725,1.973690152168274,2.350071907043457,0.359529584646225,0.6646661758422852,8.48105555633083e-05,0.0018275217153131962,0.375,0.0,20.865249633789062,1.7352781295776367,0.19416974648369112,,,,0.18484188616275787,0.0010253963991999626,0.01020751241594553
60,hybrid,0.41538023948669434,0.12816491723060608,0.12816491723060608,0.12925872206687927,2.0873265266418457,2.26472544670105,0.4007622003555298,0.097367063164711,0.00012846739264205098,0.0007899011252447963,0.25,0.125,13.5247802734375,1.9649659395217896,0.197375320224904,,,,0.39123502373695374,0.002163721714168787,0.02480839565396309
61,hybrid,0.5565919280052185,0.22090081870555878,0.22090081870555878,0.2187458723783493,2.104766368865967,2.3317995071411133,0.36168161034584045,0.08715815097093582,0.00013386404316406697,0.00019855593563988805,0.25,0.0,6.293186664581299,2.183995008468628,0.20057667874737128,,,,0.3030005693435669,0.001193419680930674,0.017116159200668335
62,hybrid,0.697325587272644,0.31685471534729004,0.31685471534729004,0.3170204162597656,2.1729612350463867,2.15891695022583,0.3421388864517212,0.1944555938243866,7.522666419390589e-05,5.6940749345812947e-05,0.0,0.0,3.423457622528076,3.573298215866089,0.20377375936011322,,,,0.12735699117183685,0.0008140504942275584,0.012340052053332329
63,hybrid,0.5335608720779419,0.2181394100189209,0.2181394100189209,0.21857193112373352,1.8776121139526367,2.185413360595703,0.2651147246360779,0.03322286903858185,8.438438817393035e-05,1.581854303367436e-05,0.5,0.25,1.5805909633636475,2.357358694076538,0.2069664997294527,,,,0.209367036819458,0.0009329667082056403,0.019731340929865837
64,hybrid,0.5905601382255554,0.2518126964569092,0.2518126964569092,0.2529235780239105,2.022016763687134,2.134779214859009,0.24580997228622437,0.198687344789505,8.421848178841174e-05,5.9918209444731474e-05,0.125,0.25,2.9810187816619873,2.0460917949676514,0.210154837883475,,,,0.2848207950592041,0.0006709717563353479,0.013230796903371811
65,hybrid,0.5477946400642395,0.2242625504732132,0.2242625504732132,0.22081291675567627,2.024195432662964,2.1784753799438477,0.2582589387893677,0.04088182747364044,5.6403503549518064e-05,0.00011635685223154724,0.25,0.0,4.932478427886963,2.2819671630859375,0.21333871221642275,,,,0.22543594241142273,0.0009445705218240619,0.02536778338253498
66,hybrid,0.8785402178764343,0.4307038187980652,0.4307038187980652,0.42615243792533875,2.1620287895202637,2.4168500900268555,0.30842268466949463,0.273124098777771,5.245861757430248e-05,0.00015696455375291407,0.25,0.0,6.199526309967041,3.6334972381591797,0.21651806149302866,,,,0.19299842417240143,0.0007581542595289648,0.015244675800204277
67,hybrid,0.7038593888282776,0.3176477551460266,0.3176477551460266,0.3202916383743286,1.9598861932754517,2.3389885425567627,0.2902486026287079,0.821878969669342,5.557420081458986e-05,0.0002611983800306916,0.375,0.0,8.03895092010498,3.7676234245300293,0.21969282485278452,,,,0.0787172019481659,0.0005332314176484942,0.014147995039820671
68,hybrid,0.5988028645515442,0.25346776843070984,0.25346776843070984,0.25762537121772766,2.1045985221862793,2.121248722076416,0.35663607716560364,0.16628259420394897,6.209014100022614e-05,0.00026638057897798717,0.25,0.25,8.100946426391602,1.09554922580719,0.22286294181414545,,,,0.154452383518219,0.0003461987362243235,0.008570414036512375
69,hybrid,0.6816949844360352,0.3198798596858978,0.3198798596858978,0.318676233291626,1.7975046634674072,2.1214685440063477,0.1883823573589325,0.46431973576545715,0.00010487036342965439,0.0002539301058277488,0.375,0.25,7.92435884475708,1.464579701423645,0.22602835227867102,,,,0.08484259247779846,0.00045342009980231524,0.009799271821975708
70,hybrid,0.3487178683280945,0.08477109670639038,0.08477109670639038,0.08149473369121552,2.1670005321502686,2.219505786895752,0.3578370213508606,0.029476303607225418,6.86060157022439e-05,0.00022965797688812017,0.0,0.0,7.3440399169921875,0.716825008392334,0.22918899653509905,,,,0.2652762830257416,0.0007925810059532523,0.021497614681720734
71,hybrid,0.750464916229248,0.35144156217575073,0.35144156217575073,0.34757357835769653,2.087660312652588,2.20804500579834,0.2865194082260132,0.7584968209266663,8.160861034411937e-05,0.0002792110317386687,0.0,0.25,8.266782760620117,1.7658625841140747,0.2323448152633556,,,,0.21091556549072266,0.0005559377605095506,0.014936653897166252
72,hybrid,0.547408938407898,0.21761073172092438,0.21761073172092438,0.21625913679599762,2.203455924987793,2.1694679260253906,0.20066308975219727,0.10145175457000732,9.702832903712988e-05,0.00029308238299563527,0.125,0.0,8.513969421386719,2.300450563430786,0.23549574953849794,,,,0.2634482979774475,0.0007817342411726713,0.018919847905635834
73,hybrid,0.6953553557395935,0.3140612244606018,0.3140612244606018,0.31033772230148315,2.183213233947754,2.248422622680664,0.3642440140247345,0.09004046022891998,5.1165978220524266e-05,0.00014813909365329891,0.125,0.0,5.919837951660156,1.530540108680725,0.23864174083459022,,,,0.217617005109787,0.0006370485061779618,0.01678089052438736
74,hybrid,0.5220388770103455,0.19806647300720215,0.19806647300720215,0.2014661431312561,2.025578260421753,2.3559868335723877,0.231273353099823,0.18476982414722443,5.379918366088532e-05,0.00011016149801434949,0.375,0.0,4.899510860443115,2.1225240230560303,0.2417827310285139,,,,0.264209508895874,0.0004675067320931703,0.016946647316217422
75,hybrid,0.6072653532028198,0.25133606791496277,0.25133606791496277,0.24838702380657196,2.2492332458496094,2.3227505683898926,0.30527153611183167,0.008326602168381214,5.292364221531898e-05,7.953008753247559e-05,0.0,0.0,4.388842582702637,2.922269582748413,0.2449186624037092,279.21337890625,0.2222222222222222,0.1111111111111111,0.23603802919387817,0.0004938513739034534,0.016990970820188522
76,hybrid,0.7008545398712158,0.33174702525138855,0.33174702525138855,0.3325604200363159,1.7925041913986206,2.1794912815093994,0.30106306076049805,0.12160617113113403,7.466375245712698e-05,4.2236897570546716e-05,0.625,0.25,2.9138150215148926,2.0716025829315186,0.24804947765384933,,,,0.18042698502540588,0.00035440910141915083,0.014936140738427639
77,hybrid,0.5081180930137634,0.20257215201854706,0.20257215201854706,0.20310938358306885,1.8156224489212036,2.233076572418213,0.15256135165691376,0.0029729006346315145,9.05270644580014e-05,1.7145661331596784e-05,0.5,0.0,1.7876324653625488,1.909097671508789,0.2511751198864467,,,,0.11972049623727798,0.000435768102761358,0.012171223759651184
78,hybrid,0.5481841564178467,0.2179872989654541,0.2179872989654541,0.2192348837852478,2.1377058029174805,2.17673397064209,0.29437893629074097,0.19129259884357452,6.442019366659224e-05,6.1018999986117706e-06,0.0,0.25,1.0614169836044312,1.4960341453552246,0.25429553262639115,,,,0.16091787815093994,0.00044914177851751447,0.018574267625808716
79,hybrid,0.5349715352058411,0.2154088318347931,0.2154088318347931,0.2165060043334961,2.0901968479156494,2.075272560119629,0.2914050817489624,0.012128863483667374,8.638785220682621e-05,6.664694410574157e-06,0.0,0.375,1.1434357166290283,1.4332430362701416,0.2574106598194166,,,,0.2376563847064972,0.00044307709322310984,0.01412055641412735
80,hybrid,0.42197319865226746,0.13634169101715088,0.13634169101715088,0.13616305589675903,2.076596260070801,2.2116506099700928,0.31087079644203186,0.0028414183761924505,4.767548307427205e-05,3.95868846680969e-05,0.0,0.25,2.9204933643341064,0.9977113008499146,0.2605204458355026,,,,0.12719756364822388,0.00044411938870325685,0.011407462880015373
81,hybrid,0.323901504278183,0.0715651661157608,0.0715651661157608,0.07134747505187988,2.1621928215026855,2.1225039958953857,0.2228931039571762,0.01982647366821766,4.8935999075183645e-05,4.58637296105735e-05,0.0,0.5,3.314114570617676,0.6502549648284912,0.2636248354722033,,,,0.21464262902736664,0.00036087381886318326,0.011015133932232857
82,hybrid,0.6198313236236572,0.2764449715614319,0.2764449715614319,0.27629995346069336,1.8599879741668701,2.123178720474243,0.21592850983142853,0.3917871415615082,8.304072252940387e-05,8.180071017704904e-05,0.25,0.125,4.140188217163086,1.5119740962982178,0.2667237739579078,,,,0.0710907056927681,0.00018289727449882776,0.007719904184341431
83,hybrid,0.6243705749511719,0.2747628688812256,0.2747628688812256,0.27289533615112305,2.0005507469177246,2.203845739364624,0.27432164549827576,0.019615503028035164,6.859383574919775e-05,8.083844295470044e-05,0.0,0.125,4.389172554016113,2.245948314666748,0.2698172069550311,,,,0.11618697643280029,0.00029869022546336055,0.009785466827452183
